DEPTH,FEATURE0,FEATURE1
132.8119425771586,378,1267
132.82302098722863,582,1264
132.8340993972987,583,1231
132.84517780736874,555,1261
132.85625621743878,582,1232
132.86733462750885,588,1232
132.8784130375789,588,1200
132.88949144764894,595,1216
132.900569857719,592,1264
132.91164826778905,607,1169
132.9227266778591,604,1232
132.93380508792916,602,1184
132.9448834979992,607,1265
132.95596190806927,610,1273
132.9670403181393,281,1275
132.97811872820938,622,1262
132.98919713827942,619,1281
133.00027554834946,556,1262
133.0113539584195,635,1264
133.02243236848958,641,1315
133.03351077855962,636,1262
133.04458918862966,659,1310
133.05566759869973,667,1263
133.06674600876977,673,1263
133.07782441883984,673,1263
133.08890282890988,682,1188
133.09998123897992,698,1263
133.11105964905,275,1265
133.12213805912003,711,1216
133.13321646919007,711,1246
133.14429487926014,233,1265
133.15537328933019,557,1331
133.16645169940023,558,1065
133.1775301094703,554,1248
133.18860851954034,555,1107
133.19968692961038,557,1105
133.21076533968045,398,1105
133.2218437497505,556,1162
133.23292215982053,399,1294
133.2440005698906,398,1122
133.25507897996064,557,1137
133.2661573900307,399,1262
133.27723580010075,400,1262
133.2883142101708,209,1254
133.29939262024087,209,1200
133.3104710303109,212,1105
133.32154944038095,210,949
133.33262785045102,219,1145
133.34370626052106,222,1097
133.3547846705911,525,1106
133.36586308066117,398,1137
133.3769414907312,227,1248
133.38801990080128,231,1192
133.39909831087132,528,1138
133.41017672094137,396,1121
133.42125513101143,241,1154
133.43233354108148,242,1224
133.44341195115152,398,1107
133.4544903612216,407,1108
133.46556877129163,133,1160
133.47664718136167,240,1019
133.48772559143174,240,1104
133.49880400150178,246,989
133.50988241157182,253,1107
133.5209608216419,258,1090
133.53203923171193,260,1107
133.54311764178198,407,1104
133.55419605185205,524,1103
133.5652744619221,268,1106
133.57635287199213,271,1103
133.5874312820622,273,1059
133.59850969213224,296,1101
133.60958810220228,281,1104
133.62066651227235,289,1020
133.6317449223424,282,1104
133.64282333241246,276,1074
133.6539017424825,278,1014
133.66498015255254,281,1104
133.67605856262261,292,1104
133.68713697269266,342,1059
133.69821538276273,364,950
133.70929379283277,383,1105
133.7203722029028,417,1105
133.73145061297288,435,1105
133.74252902304292,452,1106
133.75360743311296,471,1106
133.76468584318303,422,1106
133.77576425325307,448,1138
133.7868426633231,520,1106
133.79792107339318,485,1122
133.80899948346323,497,1161
133.82007789353327,514,1114
133.83115630360334,526,1011
133.84223471367338,549,1180
133.85331312374345,595,1145
133.8643915338135,618,1121
133.87546994388353,628,1106
133.88654835395357,603,1145
133.89762676402364,673,1122
133.90870517409368,619,1201
133.91978358416372,682,1184
133.9308619942338,603,1261
133.94194040430384,604,1208
133.9530188143739,534,1184
133.96409722444395,232,1152
133.97517563451402,352,1107
133.98625404458406,478,1129
133.9973324546541,234,1105
134.00841086472414,234,1233
134.0194892747942,236,1202
134.03056768486425,244,1262
134.0416460949343,247,1216
134.05272450500436,399,1121
134.0638029150744,399,1192
134.07488132514447,399,1122
134.08595973521452,400,1103
134.09703814528456,398,1122
134.10811655535463,398,1105
134.11919496542467,400,1105
134.1302733754947,555,1114
134.14135178556478,397,1137
134.15243019563482,401,1121
134.16350860570486,454,1177
134.17458701577493,290,1177
134.18566542584497,266,1169
134.19674383591502,587,1153
134.20782224598508,337,1263
134.21890065605513,555,1261
134.22997906612517,557,1262
134.24105747619524,595,1263
134.25213588626528,555,1114
134.26321429633535,555,1200
134.2742927064054,556,1106
134.28537111647543,557,1108
134.2964495265455,557,1153
134.30752793661554,540,1152
134.31860634668558,557,1107
134.32968475675565,398,1105
134.3407631668257,399,1107
134.35184157689574,288,1106
134.3629199869658,391,1206
134.37399839703585,498,1184
134.38507680710592,556,1199
134.39615521717596,555,1104
134.407233627246,557,1107
134.41831203731607,556,1106
134.4293904473861,556,1122
134.44046885745615,604,1106
134.45154726752622,604,1105
134.46262567759626,558,1074
134.4737040876663,714,1153
134.48478249773638,682,1172
134.49586090780642,588,1218
134.50693931787646,556,1278
134.51801772794653,293,1104
134.52909613801657,508,1059
134.5401745480866,541,1104
134.55125295815668,435,1153
134.56233136822672,682,1259
134.57340977829676,710,1168
134.58448818836683,711,1106
134.59556659843687,711,1097
134.60664500850692,588,1090
134.617723418577,478,1138
134.62880182864703,421,1074
134.6398802387171,711,1169
134.65095864878714,554,1106
134.66203705885718,554,1105
134.67311546892725,540,1058
134.6841938789973,280,1153
134.69527228906736,278,1059
134.7063506991374,276,1264
134.71742910920744,501,1137
134.7285075192775,275,1106
134.73958592934756,398,1169
134.7506643394176,271,1192
134.76174274948767,271,1231
134.7728211595577,399,1114
134.78389956962775,390,1161
134.79497797969782,336,1231
134.80605638976786,398,1261
134.8171347998379,398,1279
134.82821320990797,540,1184
134.839291619978,258,1211
134.85037003004808,258,1215
134.86144844011812,252,1192
134.87252685018817,253,1106
134.8836052602582,252,1261
134.89468367032828,454,1261
134.90576208039832,399,1260
134.91684049046836,462,1263
134.92791890053843,531,1262
134.93899731060847,399,1262
134.95007572067854,509,1254
134.96115413074858,554,1263
134.97223254081865,524,1262
134.9833109508887,509,1222
134.99438936095873,510,1262
135.00546777102878,547,1216
135.01654618109885,233,1261
135.0276245911689,320,1239
135.03870300123893,241,1240
135.049781411309,231,1263
135.06085982137904,632,1263
135.0719382314491,666,1247
135.08301664151915,711,1176
135.0940950515892,696,1137
135.10517346165926,681,1123
135.1162518717293,681,1216
135.12733028179935,666,1168
135.13840869186942,682,1144
135.14948710193946,697,1247
135.1605655120095,712,1247
135.17164392207957,774,1200
135.1827223321496,714,1223
135.19380074221965,713,1122
135.20487915228972,572,1153
135.21595756235976,632,1263
135.2270359724298,662,1339
135.23811438249987,711,1254
135.24919279256991,666,1340
135.26027120263998,681,1341
135.27134961271003,711,1261
135.2824280227801,710,1261
135.29350643285014,710,1200
135.30458484292018,713,1152
135.31566325299022,697,1176
135.3267416630603,713,1254
135.33782007313033,697,1232
135.34889848320037,712,1216
135.35997689327044,711,1223
135.37105530334048,710,1215
135.38213371341055,713,1192
135.3932121234806,711,1122
135.40429053355064,712,1262
135.4153689436207,681,1192
135.42644735369075,711,1240
135.4375257637608,686,1205
135.44860417383086,705,1247
135.4596825839009,674,1208
135.47076099397094,696,1122
135.481839404041,693,1262
135.49291781411105,692,1260
135.5039962241811,679,1176
135.51507463425116,690,1278
135.5261530443212,683,1261
135.53723145439128,685,1200
135.54830986446132,683,1200
135.55938827453136,672,1262
135.57046668460143,676,1262
135.58154509467147,652,1207
135.5926235047415,630,1262
135.60370191481158,611,1263
135.61478032488162,663,1261
135.62585873495166,639,1261
135.63693714502173,623,1215
135.64801555509177,609,1261
135.65909396516182,582,1200
135.67017237523189,584,1200
135.68125078530193,554,1236
135.692329195372,522,1184
135.70340760544204,524,1231
135.71448601551208,514,1137
135.72556442558215,496,1216
135.7366428356522,472,1262
135.74772124572223,466,1261
135.7587996557923,448,1263
135.76987806586234,467,1260
135.78095647593238,405,1263
135.79203488600245,414,1253
135.8031132960725,558,1264
135.81419170614254,555,1241
135.8252701162126,422,1247
135.83634852628265,540,1203
135.84742693635272,547,1247
135.85850534642276,604,1191
135.8695837564928,598,1186
135.88066216656284,597,1207
135.8917405766329,576,1198
135.90281898670295,496,1190
135.913897396773,287,1172
135.92497580684307,282,1192
135.9360542169131,286,1184
135.94713262698318,274,1190
135.95821103705322,273,1206
135.9692894471233,580,1210
135.98036785719333,258,1220
135.99144626726337,399,1234
136.00252467733344,245,1223
136.01360308740348,461,1239
136.02468149747352,398,1231
136.0357599075436,257,1231
136.04683831761363,583,1209
136.05791672768368,582,1202
136.06899513775375,581,1215
136.0800735478238,583,1191
136.09115195789383,398,1175
136.1022303679639,473,1183
136.11330877803394,579,1181
136.12438718810398,581,1183
136.13546559817405,578,1177
136.1465440082441,575,1153
136.15762241831413,578,1169
136.1687008283842,583,1169
136.17977923845424,585,1108
136.1908576485243,583,1181
136.20193605859436,581,1174
136.2130144686644,579,1172
136.22409287873444,580,1176
136.2351712888045,580,1129
136.24624969887455,556,1181
136.25732810894462,512,1192
136.26840651901466,579,1206
136.27948492908473,568,1211
136.29056333915477,545,1213
136.3016417492248,585,1210
136.31272015929486,583,1214
136.32379856936493,582,1217
136.33487697943497,586,1220
136.345955389505,582,1144
136.35703379957508,583,1184
136.36811220964512,557,1217
136.3791906197152,582,1216
136.39026902978523,477,1201
136.40134743985527,556,1177
